"","ENGENHARIA
GRUPO I",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO I","18","C"
"","19","C"
"","20","A"
"","21","E"
"","22","B"
"","23","D"
"","24","D"
"","25","D"
"","26","B"
"","27","E"
"","28","C"
"","29","A"
"","30","A"
"","31","C"
"","32","E"
"ENG CIVIL","33","D"
"","34","E"
"ENG  SANITÁRIA","35","B"
"","36","D"
"ENG DE 
CARTOGRÁFICA","41","D"
"","42","A"
"ENG GEOLÓGICA","37","D"
"","38","C"
"ENG HÍDRICA","39","A"
"","40","B"
"ENG DE 
AGRIMENSURA","41","A"
"","42","B"
