"","ENGENHARIA
GRUPO II",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS DO 
GRUPO II","18","C"
"","19","D"
"","20","A"
"","21","B"
"","22","C"
"","23","D"
"","24","E"
"","25","A"
"","26","C"
"","27","E"
"","28","B"
"","29","D"
"ENG COMPUTAÇÃO","30","C"
"","31","E"
"","32","B"
"","33","B"
"","34","B"
"ENG CONTROLE E 
AUTOMAÇÃO","35","E"
"","36","A"
"","37","C"
"","38","C"
"","39","C"
"ENG ELETRÔNICA","40","B"
"","41","B"
"","42","A"
"","43","D"
"","44","B"
"ENG ELETROTÉCNICA","45","B"
"","46","E"
"","47","D"
"","48","A"
"","49","E"
"ENG 
TELECOMUNICAÇÕES","50","B"
"","51","A"
"","52","C"
"","53","D"
"","54","D"
