"","ENGENHARIA
GRUPO IV",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"","18","B"
"","19","E"
"","20","A"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO IV","21","D"
"","22","A"
"","23","E"
"","24","D"
"","25","B"
"","26","ANULADA"
"","27","C"
"","28","C"
"","29","E"
"","30","D"
"","31","E"
"","32","ANULADA"
"","33","E"
"","34","B"
"","35","B"
"ENG IND. QUÍMICA 
E ENG. QUÍMICA","36","B"
"","37","C"
"ENG BIOQUÍMICA E 
ENG. DE 
BIOTECNOLOGIA","41","B"
"","42","B"
"ENG  DE 
ALIMENTOS","46","A"
"","47","B"
"ENG TÊXTIL","51","B"
"","52","C"
