"","ENGENHARIA
GRUPO V",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"","18","B"
"","19","E"
"","20","A"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO V","21","A"
"","22","D"
"","23","B"
"","24","E"
"","25","E"
"","26","C"
"","28","E"
"","30","C"
"","31","D"
"","33","A"
"","34","E"
"","35","B"
"ENG DE 
MATERIAIS, SEM 
ÊNFASE","36","D"
"","37","C"
"","38","C"
"","39","D"
"","40","A"
"ENG DE MATERIAIS 
COM ÊNFASE EM 
MATERIAIS 
METÁLICOS","41","B"
"","42","A"
"","43","C"
"","44","D"
"","45","E"
"ENG DE MATERIAIS 
COM ÊNFASE EM 
MAT. CERÂMICOS E 
ENG. DE 
MATERIAIS- 
CERÂMICA","46","B"
"","47","D"
"","48","D"
"","49","E"
"","50","B"
"ENG DE MATERIAIS 
COM ÊNFASE EM 
MAT. POLIMÉRICOS 
E ENG. DE 
MATERIAIS-
PLÁSTICO","51","B"
"","52","C"
"","53","B"
"","54","E"
"","55","D"
