"","ENGENHARIA
GRUPO VII",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
BÁSICOS","11","E"
"","12","A"
"","13","C"
"","14","D"
"","15","C"
"","16","D"
"","17","B"
"","18","B"
"","19","E"
"","20","A"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO VII","21","B"
"","22","B"
"","23","B"
"","24","C"
"","25","E"
"","26","E"
"","27","A"
"","28","B"
"","29","D"
"","30","C"
"","31","A"
"","32","A"
"","33","C"
"","34","A"
"","35","D"
"ENG","36","D"
"","37","B"
"ENG AMBIENTAL","41","D"
"","42","D"
"ENG DE MINAS","46","C"
"","47","D"
"ENG DE 
PETRÓLEO","51","C"
"","52","D"
"ENG INDUSTRIAL 
MADEIREIRA","56","B"
"","57","C"
