"","ENGENHARIA
GRUPO VIII",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"NÚCLEO DE 
CONTEÚDOS 
ESPECÍFICOS 
DO GRUPO VIII","8","E"
"","9","A"
"","10","E"
"","11","C"
"","12","B"
"","13","E"
"","14","D"
"","15","C"
"","16","D"
"","17","A"
"","18","B"
"","19","C"
"","20","A"
"","21","B"
"","22","D"
"","23","C"
"","24","C"
"","25","E"
"","26","A"
"","27","B"
"ENGENHARIA 
AGRÍCOLA","28","E"
"","29","D"
"","30","Anulada"
"","31","Anulada"
"","32","E"
"","33","Anulada"
"","34","C"
"ENGENHARIA 
DE PESCA","35","C"
"","36","D"
"","37","E"
"","38","B"
"","39","A"
"","40","A"
"","41","D"
"ENGENHARIA 
FLORESTAL","42","C"
"","43","E"
"","44","B"
"","45","D"
"","46","B"
"","47","A"
"","48","A"
