"","LETRAS",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"CONTEÚDOS 
GERAIS","8","C"
"","9","E"
"","10","D"
"","11","A"
"","12","B"
"","13","E"
"","14","A"
"","15","C"
"","16","D"
"","17","C"
"","18","B"
"","19","B"
"","20","C"
"","21","A"
"","22","B"
"","23","E"
"","24","B"
"","25","A"
"","26","A"
"","27","D"
"","28","A"
"","29","E"
"Formação em 
Língua 
Portuguesa","30","C"
"","31","A"
"","32","B"
"Formação em 
Língua 
Estrangeira","30","C"
"","31","A"
"","32","A"
"BACHARELADO","30","D"
"","31","B"
"","32","A"
