"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","B"
"QUESTÃO 10","A"
"QUESTÃO 11","B"
"QUESTÃO 12","C"
"QUESTÃO 13","D"
"QUESTÃO 14","D"
"QUESTÃO 15","E"
"QUESTÃO 16","B"
"QUESTÃO 17","A"
"QUESTÃO 18","A"
"QUESTÃO 19","E"
"QUESTÃO 20","D"
"QUESTÃO 21","A"
"QUESTÃO 22","A"
"QUESTÃO 23","B"
"QUESTÃO 24","B"
"QUESTÃO 25","E"
"QUESTÃO 26","C"
"QUESTÃO 27","C"
"QUESTÃO 28","C"
"QUESTÃO 29","D"
"QUESTÃO 30","B"
"QUESTÃO 31","E"
"QUESTÃO 32","C"
"QUESTÃO 33","A"
"QUESTÃO 34","A"
"QUESTÃO 35","ANULADA"
