"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","E"
"QUESTÃO 10","ANULADA"
"QUESTÃO 11","C"
"QUESTÃO 12","D"
"QUESTÃO 13","D"
"QUESTÃO 14","E"
"QUESTÃO 15","C"
"QUESTÃO 16","ANULADA"
"QUESTÃO 17","E"
"QUESTÃO 18","A"
"QUESTÃO 19","A"
"QUESTÃO 20","B"
"QUESTÃO 21","C"
"QUESTÃO 22","E"
"QUESTÃO 23","E"
"QUESTÃO 24","B"
"QUESTÃO 25","A"
"QUESTÃO 26","C"
"QUESTÃO 27","B"
"QUESTÃO 28","D"
"QUESTÃO 29","A"
"QUESTÃO 30","B"
"QUESTÃO 31","D"
"QUESTÃO 32","C"
"QUESTÃO 33","A"
"QUESTÃO 34","D"
"QUESTÃO 35","A"
