"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","D"
"QUESTÃO 10","A"
"QUESTÃO 11","A"
"QUESTÃO 12","D"
"QUESTÃO 13","D"
"QUESTÃO 14","A"
"QUESTÃO 15","D"
"QUESTÃO 16","A"
"QUESTÃO 17","A"
"QUESTÃO 18","B"
"QUESTÃO 19","A"
"QUESTÃO 20","E"
"QUESTÃO 21","A"
"QUESTÃO 22","B"
"QUESTÃO 23","C"
"QUESTÃO 24","E"
"QUESTÃO 25","E"
"QUESTÃO 26","E"
"QUESTÃO 27","B"
"QUESTÃO 28","C"
"QUESTÃO 29","ANULADA"
"QUESTÃO 30","B"
"QUESTÃO 31","B"
"QUESTÃO 32","D"
"QUESTÃO 33","C"
"QUESTÃO 34","D"
"QUESTÃO 35","D"
