"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","A"
"QUESTÃO 10","C"
"QUESTÃO 11","D"
"QUESTÃO 12","A"
"QUESTÃO 13","D"
"QUESTÃO 14","B"
"QUESTÃO 15","E"
"QUESTÃO 16","A"
"QUESTÃO 17","A"
"QUESTÃO 18","B"
"QUESTÃO 19","D"
"QUESTÃO 20","B"
"QUESTÃO 21","A"
"QUESTÃO 22","D"
"QUESTÃO 23","C"
"QUESTÃO 24","D"
"QUESTÃO 25","B"
"QUESTÃO 26","A"
"QUESTÃO 27","E"
"QUESTÃO 28","C"
"QUESTÃO 29","E"
"QUESTÃO 30","C"
"QUESTÃO 31","C"
"QUESTÃO 32","E"
"QUESTÃO 33","B"
"QUESTÃO 34","D"
"QUESTÃO 35","E"
