EXAME NACIONAL
ABARITO DAS QUESTÕES DE MÚLTIPLA ESC
ENGENHARIA
GRUPO II
1 D
2 E
3 C
4 A
5 E
6 C
7 B
11 E
12 A
NÚCLEO DE 13 C
CONTEÚDOS 14 D
BÁSICOS 15 C
16 D
17 B
18 C
19 D
20 A
21 B
NÚCLEO DE 22 C
CONTEÚDOS 23 D
ESPECÍFICOS DO 24 E
GRUPO II 25 A
26 C
27 E
28 B
29 D
30 C
31 E
ENG COMPUTAÇÃO 32 B
33 B
34 B
35 E
36 A
ENG CONTROLE E
AUTOMAÇÃO 37 C
38 C
39 C
40 B
41 B
ENG ELETRÔNICA 42 A
43 D
44 B
45 B
46 E
ENG ELETROTÉCNICA 47 D
48 A
49 E
50 B
51 A
ENG
TELECOMUNICAÇÕES 52 C
53 D
54 D
