ENGENHARIA GRUPO I
1 - C
2 - E
3 - D
4 - A
5 - D
6 - B
7 - D
8 - C
9 - Discursiva
10 - Discursiva
11 - B
12 - C
13 - A
14 - E
15 - B
16 - D
17 - C
18 - D
19 - E
20 - A
21 - B
22 - A
23 - D
24 - C
25 - B
26 - C
27 - D
28 - D
29 - E
30 - E
Engenharia Civil
31 - A
32 - A
33 - E
34 - B
35 - C
36 - D
37 - D
41 - C
42 - D
43 - E
44 - B
45 - D
46 - A
47 - B
48 - Discursiva
49 - Discursiva
50 - Discursiva
Engenharia Cartográfica
51 - B
52 - B
53 - D
54 - C
55 - E
56 - D
57 - A
58 - Discursiva
59 - Discursiva
60 - Discursiva
Engenharia Hídrica
61 - B
62 - C
63 - D
64 - E
65 - B
66 - C
67 - D
68 - Discursiva
69 - Discursiva
70 - Discursiva
Engenharia Agrimensura
71 - B
72 - A
73 - E
74 - A
75 - C
76 - D
