ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,ANULADA
QUESTÃO 10,B
QUESTÃO 11,B
QUESTÃO 12,ANULADA
QUESTÃO 13,B
QUESTÃO 14,E
QUESTÃO 15,B
QUESTÃO 16,E
QUESTÃO 17,D
QUESTÃO 18,D
QUESTÃO 19,E
QUESTÃO 20,D
QUESTÃO 21,D
QUESTÃO 22,A
QUESTÃO 23,ANUELADA
QUESTÃO 24,C
QUESTÃO 25,C
QUESTÃO 26,D
QUESTÃO 27,E
QUESTÃO 28,E
QUESTÃO 29,C
QUESTÃO 30,A
QUESTÃO 31,C
QUESTÃO 32,A
QUESTÃO 33,A
QUESTÃO 34,A
QUESTÃO 35,B
