ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,D
QUESTÃO 10,B
QUESTÃO 11,C
QUESTÃO 12,D
QUESTÃO 13,E
QUESTÃO 14,C
QUESTÃO 15,E
QUESTÃO 16,D
QUESTÃO 17,A
QUESTÃO 18,C
QUESTÃO 19,E
QUESTÃO 20,C
QUESTÃO 21,C
QUESTÃO 22,D
QUESTÃO 23,D
QUESTÃO 24,B
QUESTÃO 25,C
QUESTÃO 26,A
QUESTÃO 27,D
QUESTÃO 28,A
QUESTÃO 29,C
QUESTÃO 30,E
QUESTÃO 31,A
QUESTÃO 32,C
QUESTÃO 33,E
QUESTÃO 34,B
QUESTÃO 35,D
