ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,E
QUESTÃO 10,E
QUESTÃO 11,C
QUESTÃO 12,B
QUESTÃO 13,A
QUESTÃO 14,B
QUESTÃO 15,E
QUESTÃO 16,E
QUESTÃO 17,A
QUESTÃO 18,D
QUESTÃO 19,C
QUESTÃO 20,E
QUESTÃO 21,B
QUESTÃO 22,B
QUESTÃO 23,B
QUESTÃO 24,C
QUESTÃO 25,C
QUESTÃO 26,D
QUESTÃO 27,D
QUESTÃO 28,C
QUESTÃO 29,A
QUESTÃO 30,D
QUESTÃO 31,E
QUESTÃO 32,D
QUESTÃO 33,A
QUESTÃO 34,A
QUESTÃO 35,C
