ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,ANULADA
QUESTÃO 10,A
QUESTÃO 11,C
QUESTÃO 12,D
QUESTÃO 13,B
QUESTÃO 14,B
QUESTÃO 15,A
QUESTÃO 16,D
QUESTÃO 17,D
QUESTÃO 18,A
QUESTÃO 19,B
QUESTÃO 20,E
QUESTÃO 21,E
QUESTÃO 22,ANULADA
QUESTÃO 23,E
QUESTÃO 24,C
QUESTÃO 25,ANULADA
QUESTÃO 26,A
QUESTÃO 27,E
QUESTÃO 28,ANULADA
QUESTÃO 29,B
QUESTÃO 30,C
QUESTÃO 31,D
QUESTÃO 32,B
QUESTÃO 33,ANULADA
QUESTÃO 34,B
QUESTÃO 35,C
