ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,ANULADA
QUESTÃO 10,D
QUESTÃO 11,E
QUESTÃO 12,B
QUESTÃO 13,D
QUESTÃO 14,A
QUESTÃO 15,E
QUESTÃO 16,B
QUESTÃO 17,A
QUESTÃO 18,D
QUESTÃO 19,A
QUESTÃO 20,C
QUESTÃO 21,ANULADA
QUESTÃO 22,D
QUESTÃO 23,C
QUESTÃO 24,B
QUESTÃO 25,C
QUESTÃO 26,D
QUESTÃO 27,C
QUESTÃO 28,ANULADA
QUESTÃO 29,A
QUESTÃO 30,B
QUESTÃO 31,B
QUESTÃO 32,E
QUESTÃO 33,D
QUESTÃO 34,B
QUESTÃO 35,C
