ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,D
QUESTÃO 10,ANULADA
QUESTÃO 11,ANULADA
QUESTÃO 12,C
QUESTÃO 13,C
QUESTÃO 14,E
QUESTÃO 15,A
QUESTÃO 16,E
QUESTÃO 17,A
QUESTÃO 18,D
QUESTÃO 19,A
QUESTÃO 20,A
QUESTÃO 21,C
QUESTÃO 22,D
QUESTÃO 23,B
QUESTÃO 24,E
QUESTÃO 25,B
QUESTÃO 26,A
QUESTÃO 27,D
QUESTÃO 28,B
QUESTÃO 29,D
QUESTÃO 30,C
QUESTÃO 31,D
QUESTÃO 32,B
QUESTÃO 33,A
QUESTÃO 34,E
QUESTÃO 35,E
