ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,E
QUESTÃO 10,E
QUESTÃO 11,B
QUESTÃO 12,D
QUESTÃO 13,B
QUESTÃO 14,D
QUESTÃO 15,C
QUESTÃO 16,D
QUESTÃO 17,A
QUESTÃO 18,D
QUESTÃO 19,C
QUESTÃO 20,C
QUESTÃO 21,A
QUESTÃO 22,D
QUESTÃO 23,B
QUESTÃO 24,B
QUESTÃO 25,C
QUESTÃO 26,ANULADA
QUESTÃO 27,A
QUESTÃO 28,A
QUESTÃO 29,E
QUESTÃO 30,E
QUESTÃO 31,E
QUESTÃO 32,B
QUESTÃO 33,C
QUESTÃO 34,A
QUESTÃO 35,C
