ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,B
QUESTÃO 10,D
QUESTÃO 11,ANULADA
QUESTÃO 12,E
QUESTÃO 13,C
QUESTÃO 14,A
QUESTÃO 15,E
QUESTÃO 16,C
QUESTÃO 17,B
QUESTÃO 18,E
QUESTÃO 19,A
QUESTÃO 20,B
QUESTÃO 21,A
QUESTÃO 22,E
QUESTÃO 23,C
QUESTÃO 24,D
QUESTÃO 25,E
QUESTÃO 26,B
QUESTÃO 27,C
QUESTÃO 28,B
QUESTÃO 29,B
QUESTÃO 30,D
QUESTÃO 31,A
QUESTÃO 32,D
QUESTÃO 33,D
QUESTÃO 34,E
QUESTÃO 35,C
