ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,C
QUESTÃO 10,A
QUESTÃO 11,B
QUESTÃO 12,A
QUESTÃO 13,E
QUESTÃO 14,D
QUESTÃO 15,B
QUESTÃO 16,D
QUESTÃO 17,E
QUESTÃO 18,A
QUESTÃO 19,B
QUESTÃO 20,C
QUESTÃO 21,D
QUESTÃO 22,E
QUESTÃO 23,E
QUESTÃO 24,D
QUESTÃO 25,A
QUESTÃO 26,B
QUESTÃO 27,E
QUESTÃO 28,E
QUESTÃO 29,C
QUESTÃO 30,C
QUESTÃO 31,D
QUESTÃO 32,A
QUESTÃO 33,C
QUESTÃO 34,B
QUESTÃO 35,E
