ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,D
QUESTÃO 10,E
QUESTÃO 11,E
QUESTÃO 12,D
QUESTÃO 13,D
QUESTÃO 14,B
QUESTÃO 15,D
QUESTÃO 16,C
QUESTÃO 17,C
QUESTÃO 18,C
QUESTÃO 19,E
QUESTÃO 20,B
QUESTÃO 21,E
QUESTÃO 22,E
QUESTÃO 23,B
QUESTÃO 24,C
QUESTÃO 25,B
QUESTÃO 26,A
QUESTÃO 27,A
QUESTÃO 28,E
QUESTÃO 29,D
QUESTÃO 30,C
QUESTÃO 31,D
QUESTÃO 32,C
QUESTÃO 33,B
QUESTÃO 34,A
QUESTÃO 35,E
