ITEM,GABARITO
QUESTÃO 1,ANULADA
QUESTÃO 2,D
QUESTÃO 3,C
QUESTÃO 4,B
QUESTÃO 5,C
QUESTÃO 6,C
QUESTÃO 7,D
QUESTÃO 8,B
QUESTÃO 9,A
QUESTÃO 10,B
QUESTÃO 11,A
QUESTÃO 12,B
QUESTÃO 13,D
QUESTÃO 14,E
QUESTÃO 15,E
QUESTÃO 16,D
QUESTÃO 17,B
QUESTÃO 18,C
QUESTÃO 19,C
QUESTÃO 20,A
QUESTÃO 21,C
QUESTÃO 22,C
QUESTÃO 23,C
QUESTÃO 24,D
QUESTÃO 25,D
QUESTÃO 26,E
QUESTÃO 27,D
QUESTÃO 28,A
QUESTÃO 29,E
QUESTÃO 30,C
QUESTÃO 31,B
QUESTÃO 32,A
QUESTÃO 33,B
QUESTÃO 34,E
QUESTÃO 35,C
